,pickups_intract,NYPDviolation,NYPDmisdemeanor,NYPDfelony,Pop_Den_16,Median_Household_Income_16,Gini_Index_16,Ave_Commute_Min_16,Unemployed_rate_16,Moved_in_4years_16
1,0.018983666232567566,0.09815950920245399,0.07175398633257403,0.05970149253731343,0.5537906669288872,0.16910897281009707,0.602979842243646,0.4838522003394861,0.11310428769151451,0.0679104493384941
2,0.018990274155655695,0.08588957055214724,0.06605922551252848,0.05223880597014925,0.43401981865412725,0.15188727963576237,0.6698802220274613,0.526086345070567,0.1402268806400789,0.09626663076063682
3,0.02002559194832254,0.06134969325153374,0.07403189066059225,0.07462686567164178,0.26945590030685107,0.2523747933159932,0.661262050832603,0.4880443814661483,0.10069646309589442,0.0
4,0.02196366581701914,0.1411042944785276,0.10136674259681093,0.09701492537313433,0.6245017418357108,0.13411127061510109,0.6802512416009349,0.34436008594975986,0.133245365576781,0.09495063284999265
5,0.016019620207090263,0.09202453987730061,0.05808656036446469,0.05037313432835821,0.44338700528871117,0.21110432034718177,0.5698217937481741,0.3063302700275474,0.06208695654333459,0.05269804881383554
6,0.0249690458455148,0.03680981595092025,0.04669703872437358,0.04291044776119403,0.10787390037576715,0.24044042052200446,0.7236342389716623,0.4155793591849727,0.18123569860216893,0.08166065956442697
7,0.15116718062713277,0.2147239263803681,0.15148063781321183,0.12313432835820895,0.4104216372201229,0.25799375565567984,0.8368390300905638,0.38699562251225383,0.1603872817601347,0.0
8,0.023945312415236043,0.2331288343558282,0.1070615034168565,0.09701492537313433,0.47041322159122034,0.2600357225767633,0.6977797253870874,0.4936126400149471,0.12046363381581342,0.09078180531205698
9,0.12372331432789989,0.08588957055214724,0.05694760820045558,0.054104477611940295,0.5002332195803761,0.6363072141601641,0.5704060765410459,0.33916861550119737,0.07909166392316232,0.15065298763442586
10,0.12709667507143044,0.19631901840490798,0.1070615034168565,0.11380597014925373,0.3658940314449528,0.4840314396577455,0.6208004674262343,0.3414041591444715,0.1618361766823778,0.10329278150795415
11,0.13822675853015218,0.07975460122699386,0.07517084282460136,0.07649253731343283,0.32628789165268596,0.411960904150736,0.7465673385918785,0.4307174228758137,0.11522033357051142,0.13641881151289836
12,0.007474234146194121,0.024539877300613498,0.02733485193621868,0.024253731343283583,0.15980089634798564,0.2663369198042365,0.7283085013146363,0.3829544166340578,0.17438467258239465,0.0
13,0.12441727208771088,0.0736196319018405,0.04100227790432802,0.05037313432835821,0.44185970013999115,0.5897067811305201,0.6926672509494596,0.3532284836780643,0.09133582907524725,0.13403042822895977
16,0.018036684600164776,0.049079754601226995,0.03302961275626424,0.03171641791044776,0.11007480029981336,0.45304660517077194,0.6850715746421268,0.3076783655779742,0.15378681563609978,0.0
17,0.006798038533626899,0.03680981595092025,0.03758542141230068,0.026119402985074626,0.27278538527943913,0.2518678548924296,0.6102833771545428,0.6245331484945126,0.04641473281614425,0.0
18,0.00995298438107495,0.1411042944785276,0.03986332574031891,0.03731343283582089,0.31510208882801827,0.33104974155615885,0.6847794332456909,0.5736808829074751,0.11080099996897425,0.10150740852261307
19,0.011840975475019031,0.03680981595092025,0.02164009111617312,0.016791044776119403,0.2907215292794958,0.3597746729773394,0.7557697925796085,0.4844941508588881,0.1087359381247777,0.12554415636202154
20,0.008229914890979564,0.024539877300613498,0.012528473804100227,0.013059701492537313,0.32295362219631535,0.3132832080200501,0.6270815074496057,0.44830795368538223,0.15740133553300914,0.04318592590196805
21,0.018523964628531387,0.05521472392638037,0.0979498861047836,0.08768656716417911,0.29500505522268305,0.18697026119173168,0.7610283377154543,0.3991768755931885,0.05436796906238885,0.07894995501178359
22,0.011814794273579919,0.0736196319018405,0.09453302961275627,0.1044776119402985,0.41033006613601447,0.1925134196549976,0.6256208004674263,0.4688188325682234,0.21958251701550693,0.0
23,0.007585011662523725,0.018404907975460124,0.02050113895216401,0.022388059701492536,0.27216706732014545,0.2651809106888203,0.6413964358749635,0.4710939982531551,0.07486238559125648,0.12436721972005482
24,0.00758046985477888,0.024539877300613498,0.014806378132118452,0.011194029850746268,0.23855750554017635,0.33127241544314473,0.6133508618171195,0.39584429962638107,0.19141759404918868,0.0177257426892128
25,0.008784459245495993,0.04294478527607362,0.05125284738041002,0.054104477611940295,0.4799793302910004,0.2159747194072137,0.6757230499561788,0.5080758459371504,0.15979744502949478,0.04154433866291707
26,0.01603921994536833,0.03680981595092025,0.07972665148063782,0.06902985074626866,0.22621355789008188,0.26734605890908747,0.6468010517090272,0.600468488734245,0.08737675849995712,0.030728712840407273
27,0.014883875864810232,0.06134969325153374,0.030751708428246014,0.033582089552238806,0.4427992582007254,0.1454202614286188,0.8654688869412797,0.18686409690887226,0.12224913938165186,0.0
28,0.016904372710438372,0.03067484662576687,0.03302961275626424,0.029850746268656716,0.5356011977386228,0.18874691454534256,0.6522056675430908,0.3003040493978208,0.05148560339182108,0.0
29,0.13039198632748428,0.1411042944785276,0.06264236902050115,0.07649253731343283,0.34523737164205726,0.287225625500424,0.6564417177914111,0.346836195420929,0.10835292191594884,0.01704529358463363
30,0.09392884959464899,0.3619631901840491,0.23462414578587698,0.22201492537313433,0.45846681154676044,0.15888492497785106,0.7677475898334793,0.3511808571584645,0.26585606409247164,0.09265761829741159
31,0.01624233340661415,0.04294478527607362,0.030751708428246014,0.03171641791044776,0.40500520014601177,0.1413931804937675,0.707858603564125,0.08591985344719406,0.13455568595984546,0.012728994852646119
32,0.09215144282217873,0.15950920245398773,0.20956719817767655,0.22388059701492538,0.20095955102564314,0.2150650728901649,0.6849255039439088,0.34374866702049955,0.16269616617832908,0.0
33,0.015058765176349758,0.06748466257668712,0.06947608200455581,0.06902985074626866,0.4693650682818325,0.20072392701981798,0.6444639205375402,0.4786617331442444,0.15693385622849873,0.0
34,0.0751786049558097,0.2331288343558282,0.17539863325740318,0.17350746268656717,0.6458294191301217,0.10258633350862979,0.6278118609406953,0.43509568057408765,0.32190992463370777,0.10177871964205654
35,0.04220993187252237,0.09202453987730061,0.05239179954441914,0.061567164179104475,0.3938269796980758,0.2204376726314842,0.719398188723342,0.39262312916137154,0.27119973943346076,0.07354531247366349
36,0.012714838803940778,0.024539877300613498,0.04555808656036447,0.04477611940298507,0.2429186094690188,0.2742157852097162,0.694127957931639,0.4920613624141423,0.24641804648571058,0.01879093477892402
37,0.010326216652884567,0.024539877300613498,0.02847380410022779,0.026119402985074626,0.288068990899971,0.24534872152024675,0.6730937773882559,0.6568341166391387,0.12160500672055825,0.04410892187225506
40,0.023781868445609693,0.06134969325153374,0.06150341685649203,0.05970149253731343,0.13093488617876292,0.2920107451994826,0.5671925211802512,0.4703903720652914,0.12508361294785514,0.0
41,0.08858206420000982,0.3987730061349693,0.2152619589977221,0.1921641791044776,0.6267109052410282,0.10056331755665156,0.6802512416009349,0.4247862100846949,0.35309617984455516,0.030517514482166795
44,0.08801251780558755,0.09815950920245399,0.05011389521640091,0.04477611940298507,0.10342238063535013,0.5152294725471523,0.6890154834940111,0.39352140907099087,0.2254516573305919,0.1313050351688515
45,0.017331894871893384,0.04294478527607362,0.012528473804100227,0.011194029850746268,0.18046351629291085,0.08957175547564564,0.9628980426526439,0.627873237765425,0.14734456836429374,0.054717167993241375
46,0.01720548887215439,0.08588957055214724,0.0683371298405467,0.08768656716417911,0.1582716539406265,0.3054848842332675,0.733567046450482,0.5572164891881439,0.06207755125637479,0.04973576582831878
47,0.02177634433081084,0.20245398773006135,0.09339407744874716,0.08768656716417911,0.28664008555658427,0.27448109877718874,0.6786444639205376,0.4645069557366646,0.12653085990488028,0.0217129531375691
48,0.02046887969245675,0.15950920245398773,0.08997722095671981,0.0914179104477612,0.3660474376938682,0.28814000975974907,0.7005550686532283,0.3990284444670112,0.21515502873570608,0.048865147619233607
50,0.021163622646324654,0.2085889570552147,0.13553530751708429,0.125,0.5676802109474681,0.1604625931558575,0.7278702892199825,0.473430545905538,0.20727171659383362,0.10302743814970558
51,0.021237787718305225,0.147239263803681,0.13097949886104784,0.13805970149253732,0.486784312814781,0.27457585362271464,0.6663745252702308,0.46699207692740985,0.13364566147257237,0.0631218893377794
53,0.018997605195127068,0.06748466257668712,0.0489749430523918,0.05223880597014925,0.5884060204445707,0.2006955005661602,0.6137890739117733,0.5261443245832095,0.14149651632747703,0.17874943823563424
54,0.019206223312215227,0.07975460122699386,0.09567198177676538,0.0708955223880597,0.5536126413899257,0.22929251294588077,0.5785860356412504,0.4943717301527896,0.14343411187597707,0.0
55,0.015598330504880601,0.12269938650306748,0.04441913439635535,0.03731343283582089,0.1685259619008178,0.31027000393232607,0.5543382997370727,0.5338667351239338,0.09487978093734947,0.0
56,0.017286929572717154,0.1656441717791411,0.05125284738041002,0.04291044776119403,0.35528025856972595,0.3290077746350754,0.6259129418638621,0.5638549563973505,0.21040277422970527,0.06780699038325479
